id;opath;error;offset;spdist;pgeom;cpath;tpath;mgeom;ep;tp;length;duration;speed
102;1541;4.81928e-05;0.00448771;;LINESTRING(-76.4520216625 38.3561462756);1541;;LINESTRING(-76.4520216625 38.3561462756,-76.4520216625 38.3561462756);1;0;0.00744511676731;;
103;1541;4.81928e-05;0.00448771;;LINESTRING(-76.4520216625 38.3561462756);1541;;LINESTRING(-76.4520216625 38.3561462756,-76.4520216625 38.3561462756);1;0;0.00744511676731;;
104;1541;5.66905e-05;0.00448697;;LINESTRING(-76.4520212752 38.3561469065);1541;;LINESTRING(-76.4520212752 38.3561469065,-76.4520212752 38.3561469065);1;0;0.00744511676731;;
105;1541;5.66905e-05;0.00448697;;LINESTRING(-76.4520212752 38.3561469065);1541;;LINESTRING(-76.4520212752 38.3561469065,-76.4520212752 38.3561469065);1;0;0.00744511676731;;
106;1541;6.51883e-05;0.00448623;;LINESTRING(-76.4520208879 38.3561475374);1541;;LINESTRING(-76.4520208879 38.3561475374,-76.4520208879 38.3561475374);1;0;0.00744511676731;;
107;1541;6.7184e-05;0.00448948;;LINESTRING(-76.4520225887 38.3561447668);1541;;LINESTRING(-76.4520225887 38.3561447668,-76.4520225887 38.3561447668);1;0;0.00744511676731;;
108;1541;7.56817e-05;0.00448874;;LINESTRING(-76.4520222014 38.3561453977);1541;;LINESTRING(-76.4520222014 38.3561453977,-76.4520222014 38.3561453977);1;0;0.00744511676731;;
109;1541;7.56817e-05;0.00448874;;LINESTRING(-76.4520222014 38.3561453977);1541;;LINESTRING(-76.4520222014 38.3561453977,-76.4520222014 38.3561453977);1;0;0.00744511676731;;
110;1541;8.41794e-05;0.004488;;LINESTRING(-76.4520218141 38.3561460287);1541;;LINESTRING(-76.4520218141 38.3561460287,-76.4520218141 38.3561460287);1;0;0.00744511676731;;
111;1541;8.61751e-05;0.00449125;;LINESTRING(-76.4520235149 38.356143258);1541;;LINESTRING(-76.4520235149 38.356143258,-76.4520235149 38.356143258);1;0;0.00744511676731;;
112;1541;9.46728e-05;0.00449051;;LINESTRING(-76.4520231276 38.356143889);1541;;LINESTRING(-76.4520231276 38.356143889,-76.4520231276 38.356143889);1;0;0.00744511676731;;
113;1541;9.86642e-05;0.00449701;;LINESTRING(-76.4520265291 38.3561383477);1541;;LINESTRING(-76.4520265291 38.3561383477,-76.4520265291 38.3561383477);1;0;0.00744511676731;;
114;1541;0.000113149;0.00450602;;LINESTRING(-76.4520312442 38.3561306667);1541;;LINESTRING(-76.4520312442 38.3561306667,-76.4520312442 38.3561306667);1;0;0.00744511676731;;
115;1541;0.00011714;0.00451253;;LINESTRING(-76.4520346458 38.3561251254);1541;;LINESTRING(-76.4520346458 38.3561251254,-76.4520346458 38.3561251254);1;0;0.00744511676731;;
116;1541;0.000123127;0.00452228;;LINESTRING(-76.4520397482 38.3561168134);1541;;LINESTRING(-76.4520397482 38.3561168134,-76.4520397482 38.3561168134);1;0;0.00744511676731;;
117;1541;0.000129114;0.00453203;;LINESTRING(-76.4520448506 38.3561085015);1541;;LINESTRING(-76.4520448506 38.3561085015,-76.4520448506 38.3561085015);1;0;0.00744511676731;;
118;1541;0.000128251;0.00454964;;LINESTRING(-76.4520537135 38.356093287);1541;;LINESTRING(-76.4520537135 38.356093287,-76.4520537135 38.356093287);1;0;0.00744511676731;;
119;1541;0.000127323;0.00456336;;LINESTRING(-76.4520605375 38.3560813813);1541;;LINESTRING(-76.4520605375 38.3560813813,-76.4520605375 38.3560813813);1;0;0.00744511676731;;
120;1541;0.000131198;0.00463149;;LINESTRING(-76.4520944167 38.3560222729);1541;;LINESTRING(-76.4520944167 38.3560222729,-76.4520944167 38.3560222729);1;0;0.00744511676731;;
121;1541;0.000132166;0.00464853;;LINESTRING(-76.4521028865 38.3560074958);1541;;LINESTRING(-76.4521028865 38.3560074958,-76.4521028865 38.3560074958);1;0;0.00744511676731;;
122;1541;0.000128413;0.00467266;;LINESTRING(-76.4521148888 38.3559865558);1541;;LINESTRING(-76.4521148888 38.3559865558,-76.4521148888 38.3559865558);1;0;0.00744511676731;;
123;1541;0.000131278;0.004693;;LINESTRING(-76.4521250043 38.3559689073);1541;;LINESTRING(-76.4521250043 38.3559689073,-76.4521250043 38.3559689073);1;0;0.00744511676731;;
124;1541;0.000134144;0.00471335;;LINESTRING(-76.4521351199 38.3559512588);1541;;LINESTRING(-76.4521351199 38.3559512588,-76.4521351199 38.3559512588);1;0;0.00744511676731;;
125;1541;0.000132287;0.00474079;;LINESTRING(-76.4521487679 38.3559274474);1541;;LINESTRING(-76.4521487679 38.3559274474,-76.4521487679 38.3559274474);1;0;0.00744511676731;;
126;1541;0.000128534;0.00476493;;LINESTRING(-76.4521607702 38.3559065074);1541;;LINESTRING(-76.4521607702 38.3559065074,-76.4521607702 38.3559065074);1;0;0.00744511676731;;
127;1541;0.000133296;0.00478858;;LINESTRING(-76.4521725316 38.3558859875);1541;;LINESTRING(-76.4521725316 38.3558859875,-76.4521725316 38.3558859875);1;0;0.00744511676731;;
128;1541;0.00013144;0.00481602;;LINESTRING(-76.4521861796 38.3558621761);1541;;LINESTRING(-76.4521861796 38.3558621761,-76.4521861796 38.3558621761);1;0;0.00744511676731;;
129;1541;0.00013148;0.00484678;;LINESTRING(-76.4522014734 38.3558354933);1541;;LINESTRING(-76.4522014734 38.3558354933,-76.4522014734 38.3558354933);1;0;0.00744511676731;;
130;1541;0.000129624;0.00487422;;LINESTRING(-76.4522151214 38.3558116818);1541;;LINESTRING(-76.4522151214 38.3558116818,-76.4522151214 38.3558116818);1;0;0.00744511676731;;
131;1541;0.000123045;0.00490877;;LINESTRING(-76.4522323018 38.3557817074);1541;;LINESTRING(-76.4522323018 38.3557817074,-76.4522323018 38.3557817074);1;0;0.00744511676731;;
132;1541;0.00012469;0.00492982;;LINESTRING(-76.452243803 38.3557640997);1541;;LINESTRING(-76.452243803 38.3557640997,-76.452243803 38.3557640997);1;0;0.00744511676731;;
133;1541;0.000127137;0.00496047;;LINESTRING(-76.4522610834 38.3557387764);1541;;LINESTRING(-76.4522610834 38.3557387764,-76.4522610834 38.3557387764);1;0;0.00744511676731;;
134;1541;0.000129585;0.00499113;;LINESTRING(-76.4522783638 38.355713453);1541;;LINESTRING(-76.4522783638 38.355713453,-76.4522783638 38.355713453);1;0;0.00744511676731;;
135;1541;0.000127881;0.00502924;;LINESTRING(-76.4522998442 38.3556819748);1541;;LINESTRING(-76.4522998442 38.3556819748,-76.4522998442 38.3556819748);1;0;0.00744511676731;;
136;1541;0.000124026;0.0050642;;LINESTRING(-76.4523195485 38.3556530992);1541;;LINESTRING(-76.4523195485 38.3556530992,-76.4523195485 38.3556530992);1;0;0.00744511676731;;
137;1541;0.000128624;0.00509801;;LINESTRING(-76.452338605 38.3556251732);1541;;LINESTRING(-76.452338605 38.3556251732,-76.452338605 38.3556251732);1;0;0.00744511676731;;
138;1541;0.000129069;0.00513927;;LINESTRING(-76.4523618614 38.3555910922);1541;;LINESTRING(-76.4523618614 38.3555910922,-76.4523618614 38.3555910922);1;0;0.00744511676731;;
139;1541;0.000127365;0.00517738;;LINESTRING(-76.4523833418 38.355559614);1541;;LINESTRING(-76.4523833418 38.355559614,-76.4523833418 38.355559614);1;0;0.00744511676731;;
140;1541;0.000119805;0.00526104;;LINESTRING(-76.4524305026 38.3554905026);1541;;LINESTRING(-76.4524305026 38.3554905026,-76.4524305026 38.3554905026);1;0;0.00744511676731;;
141;1541;0.0001181;0.00529915;;LINESTRING(-76.452451983 38.3554590244);1541;;LINESTRING(-76.452451983 38.3554590244,-76.452451983 38.3554590244);1;0;0.00744511676731;;
142;1541;0.000118507;0.00534056;;LINESTRING(-76.452475292 38.3554247961);1541;;LINESTRING(-76.452475292 38.3554247961,-76.452475292 38.3554247961);1;0;0.00744511676731;;
